order_id,order_date,region,category,channel,units,unit_price,discount_pct,revenue,cost,customer_age,satisfaction
ORD-2071,2026-02-02,South,Electronics,Online,3,466.38,0.12,1231.24,991.45,33,3.8
ORD-2072,2026-03-03,East,Office Supplies,Online,22,18.26,0.08,369.58,218.06,22,4.6
ORD-2073,2026-01-17,East,Electronics,Online,5,707.99,0.03,3433.75,2364.41,53,3.7
ORD-2074,2026-01-02,East,Appliances,Retail,2,839.71,0.0,1679.42,1149.32,52,3.7
ORD-2075,2026-01-09,West,Appliances,Online,3,1128.45,0.0,3385.35,2267.67,58,4.9
ORD-2076,2026-01-11,South,Electronics,Retail,5,1133.58,0.15,4817.71,3482.01,55,4.1
ORD-2077,2026-02-26,East,Appliances,Retail,3,1120.03,0.15,2856.08,2641.89,28,4.9
ORD-2078,2026-01-27,South,Office Supplies,Online,20,16.11,0.12,283.54,170.99,22,4.1
ORD-2079,2026-03-30,West,Office Supplies,Online,24,17.95,0.07,400.64,260.01,51,3.6
ORD-2080,2026-01-30,East,Furniture,Retail,1,802.97,0.18,658.44,522.62,39,4.7
ORD-2081,2026-01-10,North,Furniture,Retail,3,935.82,0.15,2386.34,2130.77,50,3.7
ORD-2082,2026-03-30,East,Appliances,Retail,3,1038.98,0.1,2805.25,2055.88,24,4.8
ORD-2083,2026-02-11,East,Electronics,Online,2,1645.68,0.15,2797.66,2176.66,23,5.0
ORD-2084,2026-03-28,East,Electronics,Online,4,1025.55,0.1,3691.98,2888.32,33,5.0
ORD-2085,2026-02-25,West,Electronics,Retail,3,870.69,0.08,2403.1,1755.62,32,4.0
ORD-2086,2026-03-30,West,Office Supplies,Retail,45,8.39,0.02,370.0,210.86,42,3.7
ORD-2087,2026-02-21,North,Appliances,Retail,1,686.58,0.08,631.65,506.46,53,4.4
ORD-2088,2026-01-07,South,Office Supplies,Online,28,23.65,0.2,529.76,382.9,23,5.0
ORD-2089,2026-03-19,South,Furniture,Retail,3,457.89,0.09,1250.04,883.34,29,4.2
ORD-2090,2026-01-16,South,Appliances,Retail,3,1204.41,0.09,3288.04,2775.68,52,3.9
ORD-2091,2026-03-12,South,Appliances,Online,3,1007.24,0.03,2931.07,2334.04,39,4.7
ORD-2092,2026-02-23,East,Office Supplies,Online,28,34.59,0.15,823.24,570.72,64,4.2
ORD-2093,2026-01-20,West,Appliances,Retail,2,1050.92,0.12,1849.62,1476.16,42,4.8
ORD-2094,2026-03-31,South,Appliances,Online,2,542.65,0.2,868.24,777.19,46,4.1
ORD-2095,2026-03-26,South,Appliances,Online,1,1001.29,0.15,851.1,696.7,28,4.8
ORD-2096,2026-02-26,North,Appliances,Online,3,643.16,0.18,1582.17,1519.8,26,4.2
ORD-2097,2026-02-03,East,Appliances,Online,2,1351.34,0.12,2378.36,1899.23,42,4.4
ORD-2098,2026-03-04,North,Electronics,Online,3,1695.4,0.2,4068.96,3035.19,28,4.6
ORD-2099,2026-01-13,West,Furniture,Retail,1,478.89,0.0,478.89,321.37,45,4.1
ORD-2100,2026-02-01,West,Furniture,Online,1,500.33,0.09,455.3,358.62,37,4.2
