order_id,order_date,region,category,channel,units,unit_price,discount_pct,revenue,cost,customer_age,satisfaction
ORD-3086,2026-02-04,East,Appliances,Online,2,,,,1465.99,56,3.5
ORD-3087,2026-03-12,North,,Online,3,740.02,0.12,1953.65,,35,3.9
ORD-3088,,,,,1,888.04,0.12,781.48,532.85,46,3.5
ORD-3089,2026-02-07,South,Furniture,Retail,3,755.38,0.18,1858.23,1719.53,,4.7
ORD-3090,,East,Furniture,Retail,3,798.04,0.07,2226.53,,60,4.5
ORD-3091,2026-03-02,East,Office Supplies,Retail,41,39.19,,1462.18,1023.17,56,4.0
ORD-3092,2026-03-02,South,Appliances,Online,3,984.78,0.07,2747.54,2070.61,47,4.8
ORD-3093,2026-03-21,South,Appliances,Online,1,1056.21,0.07,982.28,700.74,25,
ORD-3094,2026-03-12,South,Office Supplies,Retail,32,16.04,0.18,420.89,327.04,,4.1
ORD-3095,2026-02-21,East,Office Supplies,Online,,23.15,0.05,,122.48,,3.8
ORD-3096,2026-01-12,West,Electronics,Online,4,1028.1,,3824.53,2687.3,40,4.6
ORD-3097,2026-03-19,South,Office Supplies,Retail,40,43.93,0.2,,1061.58,40,3.8
ORD-3098,2026-01-14,South,Appliances,Retail,3,1369.97,0.07,3822.22,3205.47,24,4.3
ORD-3099,2026-02-28,South,,Online,3,678.57,0.07,1893.21,1485.36,27,4.8
ORD-3100,2026-03-05,South,Electronics,,,,0.0,1461.86,1012.5,50,4.8
